a b c | 1.1 2.1 3.1 d
a b c | 1.1 2.1 3.2 d
a b c | 1.2 2.1 3.1 d
a b c | 1.2 2.1 3.2 d
a b c | 1.3 2.1 3.1 d
a b c | 1.3 2.1 3.2 d
a b c | 1.1 2.2 3.1 d
a b c | 1.1 2.2 3.2 d
a b c | 1.2 2.2 3.1 d
a b c | 1.2 2.2 3.2 d
a b c | 1.3 2.2 3.1 d
a b c | 1.3 2.2 3.2 d
a b c | 1.1 2.1 3.1 e
a b c | 1.1 2.1 3.2 e
a b c | 1.2 2.1 3.1 e
a b c | 1.2 2.1 3.2 e
a b c | 1.3 2.1 3.1 e
a b c | 1.3 2.1 3.2 e
a b c | 1.1 2.2 3.1 e
a b c | 1.1 2.2 3.2 e
a b c | 1.2 2.2 3.1 e
a b c | 1.2 2.2 3.2 e
a b c | 1.3 2.2 3.1 e
a b c | 1.3 2.2 3.2 e
a b d | 1.1 2.1 3.1 c
a b d | 1.1 2.1 3.2 c
a b d | 1.2 2.1 3.1 c
a b d | 1.2 2.1 3.2 c
a b d | 1.3 2.1 3.1 c
a b d | 1.3 2.1 3.2 c
a b d | 1.1 2.2 3.1 c
a b d | 1.1 2.2 3.2 c
a b d | 1.2 2.2 3.1 c
a b d | 1.2 2.2 3.2 c
a b d | 1.3 2.2 3.1 c
a b d | 1.3 2.2 3.2 c
a b d | 1.1 2.1 3.1 e
a b d | 1.1 2.1 3.2 e
a b d | 1.2 2.1 3.1 e
a b d | 1.2 2.1 3.2 e
a b d | 1.3 2.1 3.1 e
a b d | 1.3 2.1 3.2 e
a b d | 1.1 2.2 3.1 e
a b d | 1.1 2.2 3.2 e
a b d | 1.2 2.2 3.1 e
a b d | 1.2 2.2 3.2 e
a b d | 1.3 2.2 3.1 e
a b d | 1.3 2.2 3.2 e
a b e | 1.1 2.1 3.1 c
a b e | 1.1 2.1 3.2 c
a b e | 1.2 2.1 3.1 c
a b e | 1.2 2.1 3.2 c
a b e | 1.3 2.1 3.1 c
a b e | 1.3 2.1 3.2 c
a b e | 1.1 2.2 3.1 c
a b e | 1.1 2.2 3.2 c
a b e | 1.2 2.2 3.1 c
a b e | 1.2 2.2 3.2 c
a b e | 1.3 2.2 3.1 c
a b e | 1.3 2.2 3.2 c
a b e | 1.1 2.1 3.1 d
a b e | 1.1 2.1 3.2 d
a b e | 1.2 2.1 3.1 d
a b e | 1.2 2.1 3.2 d
a b e | 1.3 2.1 3.1 d
a b e | 1.3 2.1 3.2 d
a b e | 1.1 2.2 3.1 d
a b e | 1.1 2.2 3.2 d
a b e | 1.2 2.2 3.1 d
a b e | 1.2 2.2 3.2 d
a b e | 1.3 2.2 3.1 d
a b e | 1.3 2.2 3.2 d
a c b | 1.1 2.1 3.1 d
a c b | 1.1 2.1 3.2 d
a c b | 1.2 2.1 3.1 d
a c b | 1.2 2.1 3.2 d
a c b | 1.3 2.1 3.1 d
a c b | 1.3 2.1 3.2 d
a c b | 1.1 2.2 3.1 d
a c b | 1.1 2.2 3.2 d
a c b | 1.2 2.2 3.1 d
a c b | 1.2 2.2 3.2 d
a c b | 1.3 2.2 3.1 d
a c b | 1.3 2.2 3.2 d
a c b | 1.1 2.1 3.1 e
a c b | 1.1 2.1 3.2 e
a c b | 1.2 2.1 3.1 e
a c b | 1.2 2.1 3.2 e
a c b | 1.3 2.1 3.1 e
a c b | 1.3 2.1 3.2 e
a c b | 1.1 2.2 3.1 e
a c b | 1.1 2.2 3.2 e
a c b | 1.2 2.2 3.1 e
a c b | 1.2 2.2 3.2 e
a c b | 1.3 2.2 3.1 e
a c b | 1.3 2.2 3.2 e
a c d | 1.1 2.1 3.1 b
a c d | 1.1 2.1 3.2 b
a c d | 1.2 2.1 3.1 b
a c d | 1.2 2.1 3.2 b
a c d | 1.3 2.1 3.1 b
a c d | 1.3 2.1 3.2 b
a c d | 1.1 2.2 3.1 b
a c d | 1.1 2.2 3.2 b
a c d | 1.2 2.2 3.1 b
a c d | 1.2 2.2 3.2 b
a c d | 1.3 2.2 3.1 b
a c d | 1.3 2.2 3.2 b
a c d | 1.1 2.1 3.1 e
a c d | 1.1 2.1 3.2 e
a c d | 1.2 2.1 3.1 e
a c d | 1.2 2.1 3.2 e
a c d | 1.3 2.1 3.1 e
a c d | 1.3 2.1 3.2 e
a c d | 1.1 2.2 3.1 e
a c d | 1.1 2.2 3.2 e
a c d | 1.2 2.2 3.1 e
a c d | 1.2 2.2 3.2 e
a c d | 1.3 2.2 3.1 e
a c d | 1.3 2.2 3.2 e
a c e | 1.1 2.1 3.1 b
a c e | 1.1 2.1 3.2 b
a c e | 1.2 2.1 3.1 b
a c e | 1.2 2.1 3.2 b
a c e | 1.3 2.1 3.1 b
a c e | 1.3 2.1 3.2 b
a c e | 1.1 2.2 3.1 b
a c e | 1.1 2.2 3.2 b
a c e | 1.2 2.2 3.1 b
a c e | 1.2 2.2 3.2 b
a c e | 1.3 2.2 3.1 b
a c e | 1.3 2.2 3.2 b
a c e | 1.1 2.1 3.1 d
a c e | 1.1 2.1 3.2 d
a c e | 1.2 2.1 3.1 d
a c e | 1.2 2.1 3.2 d
a c e | 1.3 2.1 3.1 d
a c e | 1.3 2.1 3.2 d
a c e | 1.1 2.2 3.1 d
a c e | 1.1 2.2 3.2 d
a c e | 1.2 2.2 3.1 d
a c e | 1.2 2.2 3.2 d
a c e | 1.3 2.2 3.1 d
a c e | 1.3 2.2 3.2 d
a d b | 1.1 2.1 3.1 c
a d b | 1.1 2.1 3.2 c
a d b | 1.2 2.1 3.1 c
a d b | 1.2 2.1 3.2 c
a d b | 1.3 2.1 3.1 c
a d b | 1.3 2.1 3.2 c
a d b | 1.1 2.2 3.1 c
a d b | 1.1 2.2 3.2 c
a d b | 1.2 2.2 3.1 c
a d b | 1.2 2.2 3.2 c
a d b | 1.3 2.2 3.1 c
a d b | 1.3 2.2 3.2 c
a d b | 1.1 2.1 3.1 e
a d b | 1.1 2.1 3.2 e
a d b | 1.2 2.1 3.1 e
a d b | 1.2 2.1 3.2 e
a d b | 1.3 2.1 3.1 e
a d b | 1.3 2.1 3.2 e
a d b | 1.1 2.2 3.1 e
a d b | 1.1 2.2 3.2 e
a d b | 1.2 2.2 3.1 e
a d b | 1.2 2.2 3.2 e
a d b | 1.3 2.2 3.1 e
a d b | 1.3 2.2 3.2 e
a d c | 1.1 2.1 3.1 b
a d c | 1.1 2.1 3.2 b
a d c | 1.2 2.1 3.1 b
a d c | 1.2 2.1 3.2 b
a d c | 1.3 2.1 3.1 b
a d c | 1.3 2.1 3.2 b
a d c | 1.1 2.2 3.1 b
a d c | 1.1 2.2 3.2 b
a d c | 1.2 2.2 3.1 b
a d c | 1.2 2.2 3.2 b
a d c | 1.3 2.2 3.1 b
a d c | 1.3 2.2 3.2 b
a d c | 1.1 2.1 3.1 e
a d c | 1.1 2.1 3.2 e
a d c | 1.2 2.1 3.1 e
a d c | 1.2 2.1 3.2 e
a d c | 1.3 2.1 3.1 e
a d c | 1.3 2.1 3.2 e
a d c | 1.1 2.2 3.1 e
a d c | 1.1 2.2 3.2 e
a d c | 1.2 2.2 3.1 e
a d c | 1.2 2.2 3.2 e
a d c | 1.3 2.2 3.1 e
a d c | 1.3 2.2 3.2 e
a d e | 1.1 2.1 3.1 b
a d e | 1.1 2.1 3.2 b
a d e | 1.2 2.1 3.1 b
